Judge,For/Against,State / District,Appointed by,Notable ruling
<b>Dale Drozd</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.caed.475846/gov.uscourts.caed.475846.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Darrin Gayles</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""http://storage.courtlistener.com/recap/gov.uscourts.flsd.700643/gov.uscourts.flsd.700643.26.0.pdf"" target=""_blank"">🔗</a>"
<b>David Guaderrama</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172875644/gov.uscourts.txwd.1172875644.10.0.pdf"" target=""_blank"">🔗</a>"
<b>David Hale</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",KYWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.kywd.141191/gov.uscourts.kywd.141191.19.0.pdf"" target=""_blank"">🔗</a>"
<b>Denise Casper</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.288629/gov.uscourts.mad.288629.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Diana Saldana</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2031304/gov.uscourts.txsd.2031304.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Diane Humetewa</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",AZ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.azd.1460636/gov.uscourts.azd.1460636.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Douglas Harpool</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MOWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mowd.187147/gov.uscourts.mowd.187147.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Edgardo Ramos</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.646442/gov.uscourts.nysd.646442.20.0_1.pdf"" target=""_blank"">🔗</a>"
<b>Edmond Chang</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488667/gov.uscourts.ilnd.488667.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Edward Chen</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.454700/gov.uscourts.cand.454700.23.0.pdf"" target=""_blank"">🔗</a>"
<b>Elizabeth Wolford</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nywd.158320/gov.uscourts.nywd.158320.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Esther Salas</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.585512/gov.uscourts.njd.585512.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Fernando Olguin</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.999738/gov.uscourts.cacd.999738.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Geoffrey Crawford</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VT,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vtd.40346/gov.uscourts.vtd.40346.13.0.pdf"" target=""_blank"">🔗</a>"
<b>George Hanks Jr.</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2033942/gov.uscourts.txsd.2033942.18.0.pdf"" target=""_blank"">🔗</a>"
<b>George Russell III</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mdd.590993/gov.uscourts.mdd.590993.23.0.pdf"" target=""_blank"">🔗</a>"
<b>Gerald McHugh</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.649180/gov.uscourts.paed.649180.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Gerald Pappert</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647776/gov.uscourts.paed.647776.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Gloria Navarro</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NV,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nvd.177127/gov.uscourts.nvd.177127.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Gonzalo Curiel</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CASD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.casd.832314/gov.uscourts.casd.832314.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Gregory Stivers</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",KYWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.kywd.141612/gov.uscourts.kywd.141612.24.0.pdf"" target=""_blank"">🔗</a>"
<b>Gregory Woods</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.656015/gov.uscourts.nysd.656015.18.0.pdf"" target=""_blank"">🔗</a>"
<b>Hannah Lauck</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vaed.581621/gov.uscourts.vaed.581621.21.0.pdf"" target=""_blank"">🔗</a>"
<b>Haywood Gilliam</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.460561/gov.uscourts.cand.460561.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Indira Talwani</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.287327/gov.uscourts.mad.287327.62.0.pdf"" target=""_blank"">🔗</a>"
<b>Irene Berger</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WVSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wvsd.242945/gov.uscourts.wvsd.242945.28.0.pdf"" target=""_blank"">🔗</a>"
<b>James Donato</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.455859/gov.uscourts.cand.455859.8.0.pdf"" target=""_blank"">🔗</a>"
<b>James Peterson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WIWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wiwd.55386/gov.uscourts.wiwd.55386.19.0.pdf"" target=""_blank"">🔗</a>"
<b>Jane Magnus-Stinson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",INSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.insd.227226/gov.uscourts.insd.227226.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Jeffrey Schmehl</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647803/gov.uscourts.paed.647803.8.0.pdf"" target=""_blank"">🔗</a>"
"<b>Jerry Edwards, Jr.</b>","<b><span style=""color:#FD892F;"">Against</span></b>",LAWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.lawd.212585/gov.uscourts.lawd.212585.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Jesse Furman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.652403/gov.uscourts.nysd.652403.21.0.pdf"" target=""_blank"">🔗</a>"
<b>Joan Azrack</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.538851/gov.uscourts.nyed.538851.22.0.pdf"" target=""_blank"">🔗</a>"
<b>John Blakey</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.491309/gov.uscourts.ilnd.491309.15.0.pdf"" target=""_blank"">🔗</a>"
<b>John Gerrard</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NE,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.230681/gov.uscourts.mnd.230681.18.0.pdf"" target=""_blank"">🔗</a>"
<b>John Kronstadt</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.998573/gov.uscourts.cacd.998573.9.0.pdf"" target=""_blank"">🔗</a>"
<b>John McConnell</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",RI,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.rid.60293/gov.uscourts.rid.60293.6.0.pdf"" target=""_blank"">🔗</a>"
<b>John Tharp Jr.</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.487959/gov.uscourts.ilnd.487959.16.0.pdf"" target=""_blank"">🔗</a>"
<b>John Tuchi</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",AZ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.azd.1463993/gov.uscourts.azd.1463993.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Jon Tigar</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.456616/gov.uscourts.cand.456616.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Jorge Alonso</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.486272/gov.uscourts.ilnd.486272.21.0_1.pdf"" target=""_blank"">🔗</a>"
<b>Joseph Leeson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647409/gov.uscourts.paed.647409.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Katherine Failla</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.655203/gov.uscourts.nysd.655203.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Kathleen Williams</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flsd.699662/gov.uscourts.flsd.699662.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Kenneth Gonzales</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NM,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nmd.536496/gov.uscourts.nmd.536496.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Landya McCafferty</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NH,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nhd.66081/gov.uscourts.nhd.66081.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Laurel Beeler</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.454696/gov.uscourts.cand.454696.23.0.pdf"" target=""_blank"">🔗</a>"
<b>Lawrence Vilardo</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nywd.157674/gov.uscourts.nywd.157674.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Leo Sorokin</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MA,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mad.287722/gov.uscourts.mad.287722.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Leonard Strand</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",IAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.iand.69330/gov.uscourts.iand.69330.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Leslie Gardner</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",GAMD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.gamd.139744/gov.uscourts.gamd.139744.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Madeline Arleo</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.585192/gov.uscourts.njd.585192.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Manish Shah</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.487524/gov.uscourts.ilnd.487524.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Marina Marmolejo</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2033222/gov.uscourts.txsd.2033222.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Mark Kearney</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.648626/gov.uscourts.paed.648626.7.0_2.pdf"" target=""_blank"">🔗</a>"
<b>Matthew Brann</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAMD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.pamd.149765/gov.uscourts.pamd.149765.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Max Cogburn</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NCWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ncwd.121898/gov.uscourts.ncwd.121898.18.0_1.pdf"" target=""_blank"">🔗</a>"
<b>Michael Fitzgerald</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.998655/gov.uscourts.cacd.998655.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Michael McShane</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OR,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ord.190519/gov.uscourts.ord.190519.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Michael Shipp</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NJ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.njd.582701/gov.uscourts.njd.582701.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Michael Simon</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OR,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ord.187034/gov.uscourts.ord.187034.26.0.pdf"" target=""_blank"">🔗</a>"
<b>Nelson Roman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.652499/gov.uscourts.nysd.652499.22.0.pdf"" target=""_blank"">🔗</a>"
<b>Nitza Quinones Alejandro</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.647932/gov.uscourts.paed.647932.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Pamela Chen</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.539288/gov.uscourts.nyed.539288.18.0.pdf"" target=""_blank"">🔗</a>"
<b>Paul Engelmayer</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.653995/gov.uscourts.nysd.653995.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Paul Oetken</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.654567/gov.uscourts.nysd.654567.8.0.pdf"" target=""_blank"">🔗</a>"
<b>R. Brooke Jackson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CO,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cod.247749/gov.uscourts.cod.247749.21.0.pdf"" target=""_blank"">🔗</a>"
<b>Richard Boulware</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NV,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nvd.176390/gov.uscourts.nvd.176390.30.0.pdf"" target=""_blank"">🔗</a>"
<b>Richard Seeborg</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.459616/gov.uscourts.cand.459616.14.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert Mariani</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAMD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.pamd.149140/gov.uscourts.pamd.149140.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Robert Pitman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172860583/gov.uscourts.txwd.1172860583.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Rolando Olvera</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2041718/gov.uscourts.txsd.2041718.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Ronnie Abrams</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.651569/gov.uscourts.nysd.651569.27.0.pdf"" target=""_blank"">🔗</a>"
<b>Roseann Ketchmark</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MOWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mowd.186590/gov.uscourts.mowd.186590.8.0.pdf"" target=""_blank"">🔗</a>"
<b>Rosemary Marquez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",AZ,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.azd.1475741/gov.uscourts.azd.1475741.6.0.pdf"" target=""_blank"">🔗</a>"
<b>Sara Ellis</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.488200/gov.uscourts.ilnd.488200.31.0.pdf"" target=""_blank"">🔗</a>"
<b>Sharon Coleman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.486004/gov.uscourts.ilnd.486004.34.0.pdf"" target=""_blank"">🔗</a>"
<b>Sheril Chappell</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",FLMD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.flmd.448343/gov.uscourts.flmd.448343.18.0_3.pdf"" target=""_blank"">🔗</a>"
<b>Sheryl Lipman</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TNWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.tnwd.108044/gov.uscourts.tnwd.108044.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Stephanie Rose</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",IASD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.iasd.93169/gov.uscourts.iasd.93169.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Stephen Bough</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MOWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mowd.187482/gov.uscourts.mowd.187482.7.0.pdf"" target=""_blank"">🔗</a>"
<b>Susan Nelson</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.226980/gov.uscourts.mnd.226980.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Tanya Pratt</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",INSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.insd.225964/gov.uscourts.insd.225964.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Theodore Chuang</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mdd.590657/gov.uscourts.mdd.590657.46.0.pdf"" target=""_blank"">🔗</a>"
<b>Thomas Durkin</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",ILND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ilnd.487727/gov.uscourts.ilnd.487727.18.0.pdf"" target=""_blank"">🔗</a>"
<b>Troy Nunley</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.caed.475955/gov.uscourts.caed.475955.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Valerie Caproni</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.647185/gov.uscourts.nysd.647185.40.0.pdf"" target=""_blank"">🔗</a>"
<b>Vernon Broderick</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYSD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.652768/gov.uscourts.nysd.652768.31.0.pdf"" target=""_blank"">🔗</a>"
<b>Wendy Beetlestone</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.646879/gov.uscourts.paed.646879.7.0.pdf"" target=""_blank"">🔗</a>"
<b>William Conley</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",WIWD,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wiwd.55239/gov.uscourts.wiwd.55239.18.0.pdf"" target=""_blank"">🔗</a>"
<b>William Martinez</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CO,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cod.249913/gov.uscourts.cod.249913.15.0.pdf"" target=""_blank"">🔗</a>"
<b>William Orrick III</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CAND,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cand.459418/gov.uscourts.cand.459418.18.0.pdf"" target=""_blank"">🔗</a>"
<b>William Sessions III</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VT,"<span style=""color:#3a71b7;"">Barack Obama</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vtd.40411/gov.uscourts.vtd.40411.12.0.pdf"" target=""_blank"">🔗</a>"
